# jwspecfit line measurements  z=6.105200
# flux units: erg/s/cm2  |  EW units: rest-frame Angstrom
# name                   rest_A   centroid_A           flux       flux_err       EW_A  sigma_v_kms    SNR_int   SNR_peak
  HDELTA               4104.050    29153.540   1.859017e-18   7.173390e-19     45.637       107.09       2.59       4.21
  HGAMMA               4342.905    30850.269   5.614436e-18   1.206456e-18    134.063       107.09       4.65      10.72
  OIII_4363            4364.436    31009.186   6.203958e-18   7.442979e-19    148.008       125.58       8.34      15.47
  HBETA                4864.041    34552.218   1.558284e-17   1.181797e-18    396.022       107.09      13.19      26.86
  OIII_4959            4961.679    35245.745   3.004871e-17   9.979067e-19    789.321       105.36      30.11      42.33
  OIII_5007            5009.637    35586.471   8.778806e-17   1.077440e-18   2351.490       107.09      81.48      72.37
  NII_5756             5757.787    40934.523   3.972875e-19   2.665474e-19     22.622        37.70       1.49       2.53
  HEI_5877             5878.881    41758.721   3.009437e-18   4.428514e-19    227.298       148.41       6.80       6.28
  NII_6549             6551.669    46588.063   4.989205e-19   1.727359e-20      0.948       101.05      28.88       1.17
  Ha                   6566.421    46645.249   3.942648e-17   8.919943e-19     35.983       107.09      44.20      39.65
  NII_6585             6587.089    46839.927   1.476805e-18   5.112984e-20     15.279       101.05      28.88       3.77
  SII_6718             6720.150    47712.687   1.194074e-18   4.759495e-19        nan       294.04       2.51       1.08
  SII_6732             6734.533    47898.084   4.764249e-19   3.914033e-19        nan       292.90       1.22       0.40
  Ha_BROAD             6566.421    46645.249   1.269338e-17   1.980949e-18    255.406       850.19       6.41       1.69
  HBETA_BROAD          4864.041    34552.218   3.723490e-18   1.175829e-18     94.629       464.75       3.17       1.67
  HDELTA_BROAD         4104.050    29153.540   5.198645e-18   9.959502e-19    127.621       440.01       5.22       3.18
  HGAMMA_BROAD         4342.905    30850.269   3.741803e-18   9.609714e-19     89.348       260.62       3.89       3.63
